iyear,gname,count,proportion
1978,Basque Fatherland and Freedom (ETA),116,0.13019079685746351
1978,Irish Republican Army (IRA),86,0.09652076318742986
1978,Palestinians,28,0.031425364758698095
1978,Ulster Volunteer Force (UVF),5,0.005611672278338945
1978,Protestant extremists,3,0.003367003367003367
