iyear,gname,count,proportion
1983,Shining Path (SL),431,0.2238961038961039
1983,Farabundo Marti National Liberation Front (FMLN),307,0.15948051948051947
1983,Irish Republican Army (IRA),131,0.06805194805194806
1983,Basque Fatherland and Freedom (ETA),93,0.04831168831168831
