iyear,gname,count,proportion
2009,Communist Party of India - Maoist (CPI-Maoist),343,0.21916932907348244
2009,Taliban,239,0.15271565495207667
2009,Tehrik-i-Taliban Pakistan (TTP),131,0.08370607028753993
2009,Revolutionary Armed Forces of Colombia (FARC),98,0.06261980830670927
2009,Liberation Tigers of Tamil Eelam (LTTE),26,0.016613418530351438
