iyear,gname,count,proportion
2013,Taliban,719,0.18926033166622797
2013,Islamic State of Iraq and the Levant (ISIL),358,0.09423532508554883
2013,Al-Shabaab,269,0.07080810739668333
2013,Boko Haram,227,0.05975256646485917
2013,New People's Army (NPA),190,0.05001316135825217
