iyear,gname,count,proportion
1975,Irish Republican Army (IRA),67,0.12007168458781362
1975,Ulster Volunteer Force (UVF),40,0.07168458781362007
1975,Protestant extremists,35,0.06272401433691756
1975,Basque Fatherland and Freedom (ETA),32,0.05734767025089606
1975,Palestinians,2,0.0035842293906810036
