iyear,imonth,iday,extended,country,region,provstate,city,latitude,longitude,specificity,vicinity,multiple,success,suicide,attacktype1,targtype1,target1,natlty1,gname,individual,weaptype1,nkill,property,ishostkid,attack_date
2011,3,14,0,4,6,20,34,36.705776,68.87706,1.0,0,0.0,1,1,3,4,31,4.0,3,0,6,37.0,1,0.0,2011-03-14
2011,3,15,1,4,6,26,35,34.715851,70.764224,1.0,0,0.0,1,0,7,14,32,4.0,3,0,8,0.0,1,1.0,2011-03-15
2011,3,18,0,182,11,27,36,1.630126,42.403107,1.0,1,0.0,1,0,2,14,33,182.0,2,0,5,2.0,-9,0.0,2011-03-18
2011,3,21,0,147,11,0,0,11.840929,13.141459,1.0,0,0.0,1,0,2,2,34,147.0,0,0,5,1.0,0,0.0,2011-03-21
2011,3,21,0,182,11,28,37,4.73538,45.2024,1.0,1,0.0,1,0,6,14,6,182.0,2,0,9,2.0,0,1.0,2011-03-21
2011,3,24,0,160,5,29,38,8.865817,125.55835,1.0,0,0.0,1,0,2,1,35,160.0,1,0,5,0.0,0,0.0,2011-03-24
2011,3,25,0,160,5,30,39,6.47313,125.007456,1.0,0,0.0,1,0,2,1,36,160.0,1,0,5,3.0,1,0.0,2011-03-25
2011,3,27,0,147,11,0,0,11.840929,13.141459,1.0,0,0.0,1,0,2,2,37,147.0,0,0,5,1.0,-9,0.0,2011-03-27
2011,3,27,0,104,11,31,40,0.349466,40.875992,1.0,0,0.0,1,0,2,3,38,104.0,2,0,5,0.0,-9,0.0,2011-03-27
2011,3,29,0,147,11,0,0,11.840929,13.141459,1.0,0,1.0,0,0,3,2,39,147.0,0,0,6,0.0,0,0.0,2011-03-29
2011,3,29,0,147,11,0,0,11.840929,13.141459,1.0,0,1.0,1,0,2,14,6,147.0,0,0,5,3.0,-9,0.0,2011-03-29
2011,3,29,0,147,11,0,0,11.840929,13.141459,1.0,0,1.0,1,0,2,14,40,147.0,0,0,5,1.0,0,0.0,2011-03-29
2011,4,7,0,160,5,32,41,13.515076,123.049149,1.0,0,0.0,1,0,2,14,41,160.0,1,0,5,1.0,0,0.0,2011-04-07
2011,4,8,0,4,6,33,42,33.099722,68.288056,1.0,1,0.0,1,0,1,3,42,4.0,3,0,5,1.0,0,0.0,2011-04-08
2011,4,11,0,4,6,3,43,31.389315,64.315166,1.0,0,0.0,1,0,2,14,43,4.0,3,0,5,1.0,0,0.0,2011-04-11
2011,4,12,0,182,11,9,10,2.059819,45.326115,1.0,0,0.0,1,0,3,4,44,182.0,2,0,6,4.0,-9,0.0,2011-04-12
2011,4,12,0,182,11,34,44,2.777264,45.500641,1.0,0,0.0,1,0,2,14,6,182.0,2,0,9,0.0,0,0.0,2011-04-12
2011,4,14,1,160,5,35,45,7.152539,125.057015,3.0,1,0.0,1,0,6,2,45,160.0,1,0,5,0.0,0,1.0,2011-04-14
2011,4,14,0,4,6,36,46,34.368889,69.218333,3.0,0,0.0,1,1,3,2,46,4.0,3,0,6,1.0,1,0.0,2011-04-14
2011,4,18,1,4,6,37,47,32.480918,62.028239,1.0,0,0.0,1,0,6,1,47,94.0,3,0,5,0.0,0,1.0,2011-04-18
2011,4,20,0,147,11,0,0,11.840929,13.141459,1.0,0,0.0,1,0,2,3,48,147.0,0,0,6,3.0,-9,0.0,2011-04-20
2011,4,24,0,147,11,0,0,11.840929,13.141459,1.0,0,1.0,1,0,3,19,49,147.0,0,0,6,0.0,0,0.0,2011-04-24
2011,5,3,0,182,11,38,48,3.32728,42.218563,1.0,0,0.0,1,0,1,4,50,182.0,2,0,6,1.0,1,0.0,2011-05-03
2011,5,4,0,4,6,19,49,33.566561,69.878354,1.0,1,0.0,1,0,1,4,51,4.0,3,0,5,1.0,-9,0.0,2011-05-04
2011,5,4,0,182,11,2,2,3.115641,43.64658,1.0,0,0.0,1,0,2,14,33,182.0,2,0,5,2.0,0,0.0,2011-05-04
2011,5,5,0,4,6,15,50,35.018158,69.168991,1.0,0,0.0,1,0,2,1,52,184.0,3,0,5,3.0,-9,0.0,2011-05-05
2011,5,8,0,4,6,20,26,37.181767,68.911301,1.0,0,0.0,1,0,2,17,53,4.0,3,0,5,5.0,-9,0.0,2011-05-08
2011,5,11,0,160,5,39,51,12.338428,121.118635,1.0,0,0.0,1,0,7,1,54,160.0,1,0,8,0.0,1,0.0,2011-05-11
2011,5,12,0,160,5,40,52,9.763175,125.488415,1.0,0,0.0,1,0,7,1,55,160.0,1,0,8,0.0,1,0.0,2011-05-12
2011,5,12,0,147,11,0,0,11.840929,13.141459,1.0,0,0.0,1,0,2,14,56,147.0,0,0,5,1.0,0,0.0,2011-05-12
2011,5,12,0,160,5,41,53,7.134066,125.894222,1.0,0,0.0,1,0,2,1,57,160.0,1,0,5,1.0,0,0.0,2011-05-12
2011,5,18,0,160,5,42,54,12.867368,124.143448,1.0,0,0.0,1,0,2,3,58,160.0,1,0,5,1.0,0,0.0,2011-05-18
2011,5,21,0,4,6,43,55,34.276094,70.360248,1.0,0,0.0,1,0,7,8,59,4.0,3,0,8,0.0,1,0.0,2011-05-21
2011,5,22,0,160,5,4,56,6.836912,125.413349,1.0,1,0.0,1,0,7,19,60,160.0,1,0,8,0.0,1,0.0,2011-05-22
2011,5,22,0,4,6,33,57,33.193142,68.101852,1.0,0,0.0,1,0,2,14,61,4.0,3,0,5,8.0,-9,0.0,2011-05-22
2011,5,22,0,160,5,44,58,17.074867,120.456848,1.0,0,0.0,1,0,7,1,62,217.0,1,0,5,0.0,1,0.0,2011-05-22
2011,5,24,0,4,6,45,59,35.975346,65.378044,1.0,0,0.0,1,0,7,21,63,4.0,3,0,8,0.0,1,0.0,2011-05-24
2011,5,24,0,160,5,46,60,6.963264,126.016094,3.0,1,0.0,1,0,4,1,64,160.0,1,0,8,0.0,1,1.0,2011-05-24
2011,5,25,0,4,6,47,61,34.214698,69.098414,1.0,0,0.0,1,0,7,21,63,4.0,3,0,8,0.0,1,0.0,2011-05-25
2011,5,25,0,160,5,40,62,9.78472,125.489693,1.0,0,0.0,1,0,7,1,65,160.0,1,0,8,0.0,1,0.0,2011-05-25
2011,5,26,0,147,11,0,0,11.840929,13.141459,1.0,0,0.0,1,0,2,3,66,147.0,0,0,5,1.0,1,0.0,2011-05-26
2011,5,27,0,147,11,0,63,11.151905,12.758704,1.0,0,1.0,1,0,2,3,67,147.0,0,0,5,7.0,1,0.0,2011-05-27
2011,5,28,0,4,6,48,64,36.733459,69.537758,1.0,0,0.0,1,1,3,2,68,4.0,3,0,6,8.0,1,0.0,2011-05-28
2011,5,29,0,147,11,21,65,10.315833,9.844167,1.0,0,1.0,1,0,3,14,6,147.0,0,0,6,14.0,1,0.0,2011-05-29
2011,6,2,0,147,11,0,0,11.840929,13.141459,1.0,0,0.0,1,0,3,15,69,147.0,0,0,6,0.0,1,0.0,2011-06-02
2011,6,2,0,104,11,31,66,3.938715,41.844707,1.0,0,0.0,1,0,3,4,70,104.0,2,0,6,4.0,1,0.0,2011-06-02
