iyear,imonth,iday,extended,country,region,provstate,city,latitude,longitude,specificity,vicinity,multiple,success,suicide,attacktype1,targtype1,target1,natlty1,gname,individual,weaptype1,nkill,property,ishostkid,attack_date
2007,5,15,0,186,6,7,344,9.729722,80.023056,1.0,0,0.0,1,0,3,19,-1,186.0,0,0,8,0.0,1,0.0,2007-05-15
2007,5,24,0,186,6,6,10,6.941837,79.861687,1.0,0,0.0,1,0,3,4,9,186.0,0,0,6,2.0,1,0.0,2007-05-24
2007,5,24,0,186,6,7,60,8.757816,80.487907,1.0,0,0.0,1,0,3,3,-1,186.0,0,0,6,3.0,-9,0.0,2007-05-24
2007,5,27,0,186,6,7,13,7.115312,81.852488,1.0,0,0.0,1,0,3,14,-1,186.0,0,0,6,3.0,-9,0.0,2007-05-27
2007,5,28,0,186,6,6,157,6.819545,79.880083,1.0,0,0.0,1,0,3,3,-1,186.0,0,0,6,7.0,-9,0.0,2007-05-28
2007,6,2,0,186,6,7,426,8.785598,80.41596,1.0,1,0.0,1,0,2,4,9,186.0,0,0,5,62.0,-9,0.0,2007-06-02
2007,6,4,1,45,3,15,-1,3.322222,-76.234722,1.0,0,0.0,1,0,6,3,-1,45.0,1,0,5,0.0,0,1.0,2007-06-04
2007,6,6,0,186,6,0,19,7.733107,81.68882,1.0,0,0.0,1,0,3,19,9,186.0,0,0,6,0.0,1,0.0,2007-06-06
2007,6,12,0,186,6,6,10,6.945244,79.881483,1.0,0,0.0,1,0,3,21,-1,186.0,0,0,6,0.0,-9,0.0,2007-06-12
2007,6,28,0,186,6,7,51,9.666399,80.020477,1.0,0,0.0,1,0,3,4,-1,186.0,0,0,6,2.0,0,0.0,2007-06-28
2007,6,29,0,186,6,7,172,8.665596,80.296238,1.0,0,0.0,1,0,3,19,482,186.0,0,0,6,0.0,1,0.0,2007-06-29
2007,6,29,0,186,6,7,51,9.666399,80.020477,1.0,1,0.0,1,0,3,4,482,186.0,0,0,6,0.0,0,0.0,2007-06-29
2007,7,3,0,186,6,7,51,9.666399,80.020477,1.0,0,0.0,1,0,2,3,-1,186.0,0,0,5,0.0,0,0.0,2007-07-03
2007,7,12,0,186,6,7,51,9.666399,80.020477,1.0,1,0.0,1,0,3,4,-1,186.0,0,0,6,1.0,-9,0.0,2007-07-12
2007,7,13,0,45,3,9,23,6.643708,-73.653621,4.0,0,0.0,1,0,3,21,-1,45.0,1,0,6,0.0,1,0.0,2007-07-13
2007,7,16,0,186,6,0,2,8.577826,81.218719,1.0,0,0.0,1,0,1,2,-1,186.0,0,0,5,1.0,0,0.0,2007-07-16
2007,7,20,0,186,6,7,66,8.964041,80.787941,3.0,0,0.0,1,0,3,14,-1,186.0,0,0,6,0.0,-9,0.0,2007-07-20
2007,7,22,0,186,6,6,10,6.890684,79.897186,1.0,0,0.0,0,0,3,14,482,186.0,0,0,6,0.0,0,0.0,2007-07-22
2007,7,24,0,186,6,7,172,8.665596,80.296238,1.0,0,0.0,1,0,3,4,100,186.0,0,0,6,10.0,-9,0.0,2007-07-24
2007,7,31,0,186,6,7,-1,9.75,80.216667,2.0,0,0.0,1,0,3,4,-1,186.0,0,0,6,3.0,-9,0.0,2007-07-31
2007,8,6,0,186,6,7,87,9.82486,80.236347,1.0,1,0.0,1,0,3,4,-1,186.0,0,0,6,6.0,1,0.0,2007-08-06
2007,8,12,0,186,6,7,66,8.964041,80.787941,3.0,0,0.0,1,0,3,10,-1,186.0,0,0,6,1.0,-9,0.0,2007-08-12
2007,8,18,0,45,3,33,-1,8.57451,-73.09339,1.0,0,0.0,1,0,6,2,-1,45.0,1,0,5,1.0,0,1.0,2007-08-18
2007,8,20,0,186,6,7,60,8.757816,80.487907,1.0,0,0.0,1,0,2,3,21,186.0,0,0,5,5.0,0,0.0,2007-08-20
2007,8,30,0,186,6,0,2,8.577826,81.218719,1.0,0,0.0,1,0,1,2,-1,186.0,0,0,5,1.0,0,0.0,2007-08-30
2007,9,3,0,186,6,7,66,8.964041,80.787941,3.0,0,0.0,1,0,3,14,482,186.0,0,0,6,0.0,1,0.0,2007-09-03
2007,9,22,0,45,3,36,-1,3.934847,-74.601414,1.0,0,0.0,1,0,2,2,-1,45.0,1,0,5,1.0,0,0.0,2007-09-22
2007,9,22,0,186,6,0,2,8.577826,81.218719,1.0,0,0.0,1,0,3,19,9,186.0,0,0,6,1.0,-9,0.0,2007-09-22
2007,9,22,0,186,6,0,-1,8.633053,81.217396,1.0,0,0.0,1,0,3,19,482,186.0,0,0,6,1.0,1,0.0,2007-09-22
2007,9,25,0,186,6,7,-1,9.753948,79.961516,1.0,0,0.0,1,0,3,4,-1,186.0,0,0,6,2.0,-9,0.0,2007-09-25
2007,9,27,0,186,6,7,51,9.666399,80.020477,1.0,0,0.0,1,0,3,3,9,186.0,0,0,6,2.0,-9,0.0,2007-09-27
2007,9,27,0,186,6,7,404,9.741527,80.033931,1.0,1,0.0,1,0,3,3,-1,186.0,0,0,6,2.0,1,0.0,2007-09-27
2007,10,1,0,186,6,7,60,8.757816,80.487907,1.0,1,0.0,1,0,3,4,-1,186.0,0,0,6,0.0,1,0.0,2007-10-01
2007,10,15,0,186,6,16,-1,6.398352,81.481771,1.0,0,0.0,1,0,2,4,-1,186.0,0,0,5,6.0,1,0.0,2007-10-15
2007,10,15,0,186,6,7,-1,9.025337,79.867226,1.0,0,0.0,1,0,2,3,-1,186.0,0,0,5,2.0,0,0.0,2007-10-15
2007,10,15,0,186,6,7,367,8.738157,80.477147,3.0,0,0.0,1,0,2,3,-1,186.0,0,0,5,0.0,0,0.0,2007-10-15
2007,10,22,0,45,3,26,147,0.49765,-76.49768,1.0,0,0.0,1,0,3,14,-1,45.0,1,0,6,2.0,-9,0.0,2007-10-22
2007,10,22,0,186,6,5,-1,8.391309,80.44795,1.0,0,0.0,1,1,3,4,-1,186.0,0,0,6,33.0,1,0.0,2007-10-22
2007,10,22,0,186,6,0,-1,8.59878,81.187152,1.0,0,0.0,1,0,3,14,-1,186.0,0,0,6,1.0,1,0.0,2007-10-22
2007,10,23,0,45,3,14,-1,1.19974,-75.66284,2.0,0,0.0,1,0,1,14,-1,45.0,1,0,6,2.0,0,0.0,2007-10-23
2007,10,25,0,45,3,20,-1,2.535935,-75.52767,4.0,0,0.0,1,0,3,21,-1,45.0,1,0,6,0.0,1,0.0,2007-10-25
2007,10,26,0,45,3,15,170,3.88182,-77.07042,1.0,1,0.0,1,0,3,4,-1,45.0,1,0,6,3.0,-9,0.0,2007-10-26
2007,10,26,1,186,6,16,-1,6.130655,81.1262,3.0,0,0.0,1,0,6,14,-1,186.0,0,0,9,3.0,1,1.0,2007-10-26
2007,11,4,0,186,6,0,77,7.945898,81.52227,1.0,0,0.0,1,0,3,14,-1,186.0,0,0,6,0.0,1,0.0,2007-11-04
2007,11,4,0,186,6,7,69,9.66123,80.02558,3.0,0,0.0,1,0,3,4,787,186.0,0,0,6,2.0,-9,0.0,2007-11-04
2007,11,4,0,186,6,5,252,7.939525,81.000963,3.0,0,0.0,1,0,3,2,-1,186.0,0,0,6,1.0,0,0.0,2007-11-04
2007,11,5,0,186,6,7,-1,8.86656,80.5093,1.0,0,0.0,1,0,3,3,-1,186.0,0,0,6,0.0,-9,0.0,2007-11-05
2007,11,9,0,186,6,5,-1,8.8341,80.760739,1.0,0,0.0,1,0,3,4,787,186.0,0,0,6,2.0,-9,0.0,2007-11-09
2007,11,10,0,186,6,3,-1,7.728261,80.167377,1.0,0,0.0,1,0,3,14,482,186.0,0,0,6,1.0,-9,0.0,2007-11-10
2007,11,12,0,186,6,7,69,9.66123,80.02558,3.0,0,0.0,1,0,2,14,-1,186.0,0,0,5,2.0,0,0.0,2007-11-12
2007,11,17,0,45,3,36,23,4.092517,-75.154538,4.0,0,0.0,1,0,3,4,-1,45.0,1,0,6,6.0,0,0.0,2007-11-17
2007,11,20,0,45,3,30,-1,2.44186,-76.60617,1.0,0,0.0,1,0,3,2,-1,45.0,1,0,6,1.0,-9,0.0,2007-11-20
2007,11,24,0,186,6,0,19,7.733107,81.68882,1.0,0,0.0,1,0,3,3,-1,186.0,0,0,6,2.0,0,0.0,2007-11-24
2007,11,25,0,45,3,28,179,2.938353,-73.208333,1.0,0,0.0,1,0,3,4,-1,45.0,1,0,6,1.0,-9,0.0,2007-11-25
2007,11,26,0,186,6,7,51,9.666399,80.020477,1.0,0,0.0,1,0,2,14,9,186.0,0,0,5,2.0,0,0.0,2007-11-26
2007,11,26,0,186,6,7,-1,8.980118,79.912462,3.0,0,0.0,1,0,3,8,-1,186.0,0,0,6,0.0,1,0.0,2007-11-26
2007,11,26,0,186,6,5,-1,8.491553,80.201028,1.0,0,0.0,1,0,2,14,897,186.0,0,0,5,4.0,0,0.0,2007-11-26
2007,11,26,0,45,3,14,179,1.90967,-75.15906,1.0,0,0.0,1,0,2,3,-1,45.0,1,0,5,2.0,0,0.0,2007-11-26
2007,11,28,0,186,6,6,10,6.941837,79.861687,1.0,0,0.0,1,1,3,2,-1,186.0,0,0,6,2.0,-9,0.0,2007-11-28
2007,11,29,0,186,6,6,10,6.941837,79.861687,1.0,0,0.0,1,0,3,1,-1,186.0,0,0,6,17.0,-9,0.0,2007-11-29
2007,11,29,0,186,6,0,19,7.733107,81.68882,1.0,0,0.0,1,0,2,14,-1,186.0,0,0,5,2.0,0,0.0,2007-11-29
2007,12,5,0,186,6,5,52,8.345185,80.388133,3.0,0,0.0,1,0,3,19,-1,186.0,0,0,6,15.0,0,0.0,2007-12-05
2007,12,5,0,186,6,7,133,9.619772,80.267847,1.0,0,0.0,1,0,2,4,787,186.0,0,0,5,3.0,0,0.0,2007-12-05
2007,12,6,0,45,3,1,394,7.440534,-77.118906,1.0,0,0.0,1,0,2,14,-1,45.0,1,0,5,5.0,0,1.0,2007-12-06
2007,12,18,0,45,3,8,-1,7.07386,-75.14591,3.0,0,1.0,1,0,3,14,-1,45.0,1,0,6,1.0,0,0.0,2007-12-18
2007,12,18,0,45,3,30,341,2.95485,-76.26825,1.0,0,1.0,1,0,2,3,-1,45.0,1,0,6,3.0,1,0.0,2007-12-18
2007,12,18,0,186,6,0,80,8.351263,81.006993,1.0,0,0.0,1,0,3,19,-1,186.0,0,0,6,0.0,1,0.0,2007-12-18
2007,12,23,0,45,3,15,170,3.88182,-77.07042,1.0,0,0.0,1,0,7,21,-1,45.0,1,0,11,0.0,1,0.0,2007-12-23
2007,12,27,0,186,6,7,60,8.757816,80.487907,1.0,1,0.0,1,0,3,19,482,186.0,0,0,6,4.0,1,0.0,2007-12-27
2008,1,8,0,186,6,6,191,7.079678,79.890976,1.0,0,0.0,1,0,3,2,-1,186.0,0,0,6,2.0,1,0.0,2008-01-08
2008,1,16,0,186,6,17,-1,6.758923,81.24913,1.0,1,0.0,1,0,3,19,482,186.0,0,0,6,26.0,-9,0.0,2008-01-16
2008,1,28,0,186,6,0,241,6.875271,81.830633,1.0,1,0.0,1,0,2,17,482,186.0,0,0,5,2.0,0,0.0,2008-01-28
2008,1,30,0,45,3,36,-1,4.06052,-74.692318,1.0,0,0.0,1,0,2,14,482,45.0,1,0,5,2.0,0,0.0,2008-01-30
2008,2,2,0,186,6,22,-1,7.900694,80.680499,1.0,0,0.0,1,0,3,19,-1,186.0,0,0,6,18.0,1,0.0,2008-02-02
2008,2,3,0,186,6,6,-1,7.256096,80.169284,1.0,0,0.0,1,1,3,19,-1,186.0,0,0,6,8.0,1,0.0,2008-02-03
2008,2,3,0,186,6,6,56,6.857087,79.873784,1.0,0,0.0,1,0,3,14,-1,186.0,0,0,6,0.0,0,0.0,2008-02-03
2008,2,4,0,186,6,7,14,8.964041,80.787941,1.0,0,0.0,1,0,3,19,-1,186.0,0,0,6,12.0,1,0.0,2008-02-04
2008,3,2,0,186,6,7,60,8.757816,80.487907,1.0,0,0.0,1,0,3,20,-1,186.0,0,0,6,0.0,1,0.0,2008-03-02
2008,3,5,0,45,3,26,-1,0.53636,-76.5875,3.0,0,0.0,1,0,3,21,-1,45.0,1,0,6,0.0,-9,0.0,2008-03-05
2008,3,10,0,186,6,6,10,6.884844,79.858188,1.0,0,0.0,0,0,3,14,-1,186.0,0,0,6,1.0,1,0.0,2008-03-10
2008,3,16,0,186,6,7,216,8.738157,80.477147,3.0,0,0.0,1,0,3,4,-1,186.0,0,0,6,1.0,-9,0.0,2008-03-16
2008,3,22,0,186,6,7,23,8.885503,80.276733,4.0,0,0.0,1,1,3,4,-1,186.0,0,0,6,3.0,1,0.0,2008-03-22
2008,3,22,0,186,6,7,-1,8.980118,79.912462,3.0,0,0.0,1,0,3,4,-1,186.0,0,0,6,2.0,-9,0.0,2008-03-22
2008,3,26,0,186,6,0,19,7.733107,81.68882,1.0,0,0.0,1,0,3,3,-1,186.0,0,0,6,2.0,-9,0.0,2008-03-26
2008,3,29,0,186,6,17,-1,6.872751,81.35066,3.0,0,0.0,1,0,2,2,-1,186.0,0,0,5,1.0,0,0.0,2008-03-29
2008,4,1,0,45,3,18,269,4.21557,-73.81502,1.0,0,0.0,0,0,3,21,-1,45.0,1,0,6,0.0,0,0.0,2008-04-01
2008,4,1,0,186,6,7,58,8.980118,79.912462,1.0,0,0.0,1,0,2,2,-1,186.0,0,0,5,0.0,1,0.0,2008-04-01
2008,4,1,0,186,6,7,58,8.980118,79.912462,1.0,0,0.0,1,0,3,15,-1,186.0,0,0,6,0.0,1,0.0,2008-04-01
2008,4,3,0,45,3,19,-1,2.56426,-72.637985,1.0,0,0.0,1,0,2,15,-1,69.0,1,0,9,0.0,0,0.0,2008-04-03
2008,4,6,0,186,6,6,-1,7.031878,80.028341,1.0,0,0.0,1,1,3,2,-1,186.0,0,0,6,15.0,-9,0.0,2008-04-06
2008,4,11,0,186,6,7,51,9.666399,80.020477,1.0,0,0.0,1,0,2,14,-1,186.0,0,0,5,1.0,-9,0.0,2008-04-11
2008,4,13,0,45,3,30,-1,2.51379,-76.38945,1.0,0,0.0,1,0,3,21,-1,45.0,1,0,6,0.0,1,0.0,2008-04-13
2008,4,20,0,186,6,7,70,9.380289,80.377,1.0,0,0.0,1,0,3,15,-1,186.0,0,0,6,1.0,0,0.0,2008-04-20
2008,4,20,0,45,3,8,364,7.579405,-75.400101,1.0,0,0.0,1,0,2,14,-1,45.0,1,0,5,1.0,1,0.0,2008-04-20
2008,4,22,0,45,3,35,-1,7.89014,-75.66967,1.0,0,0.0,1,0,3,14,-1,45.0,1,0,6,2.0,-9,0.0,2008-04-22
2008,4,25,0,186,6,6,-1,6.801803,79.922684,1.0,0,0.0,1,0,3,19,-1,186.0,0,0,6,26.0,1,0.0,2008-04-25
2008,4,28,0,186,6,3,-1,7.48858,80.365169,3.0,0,0.0,0,0,3,19,-1,186.0,0,0,6,0.0,0,0.0,2008-04-28
2008,4,29,0,45,3,12,-1,8.637278,-72.737852,1.0,0,0.0,1,0,3,21,-1,45.0,1,0,6,0.0,1,0.0,2008-04-29
2008,5,3,0,186,6,5,-1,8.8341,80.760739,1.0,1,0.0,1,0,3,21,-1,186.0,0,0,6,0.0,1,0.0,2008-05-03
2008,5,5,0,186,6,5,199,8.345185,80.388133,1.0,0,0.0,1,0,3,15,-1,186.0,0,0,6,0.0,1,0.0,2008-05-05
2008,5,6,0,45,3,30,-1,1.806147,-76.978708,1.0,0,0.0,1,0,3,14,-1,45.0,1,0,6,3.0,-9,0.0,2008-05-06
2008,5,6,0,45,3,12,194,0.884572,-77.503387,1.0,0,0.0,1,0,3,21,-1,45.0,1,0,6,0.0,1,0.0,2008-05-06
2008,5,8,0,186,6,7,60,8.757816,80.487907,1.0,0,0.0,1,0,2,14,-1,186.0,0,0,5,1.0,0,0.0,2008-05-08
2008,5,9,0,186,6,0,67,7.301756,81.67473,1.0,0,0.0,1,0,3,1,-1,186.0,0,0,6,11.0,1,0.0,2008-05-09
