iyear,imonth,iday,extended,country,region,provstate,city,latitude,longitude,specificity,vicinity,multiple,success,suicide,attacktype1,targtype1,target1,natlty1,gname,individual,weaptype1,nkill,property,ishostkid,attack_date
1996,1,4,0,186,6,0,0,7.414383,81.830633,1.0,0,0.0,1,0,3,16,0,186.0,0,0,6,0.0,1,0.0,1996-01-04
1996,1,4,0,45,3,1,1,8.04053,-77.09336,1.0,0,0.0,1,0,3,3,1,45.0,1,0,6,0.0,1,0.0,1996-01-04
1996,1,5,0,186,6,0,2,8.577826,81.218719,1.0,1,0.0,1,0,1,14,2,186.0,0,0,5,2.0,0,0.0,1996-01-05
1996,1,6,0,45,3,2,3,9.52287,-75.5795,1.0,1,0.0,1,0,3,16,3,45.0,1,0,6,3.0,1,0.0,1996-01-06
1996,1,22,0,186,6,3,4,7.883333,80.4,2.0,0,0.0,1,0,3,14,4,186.0,0,0,6,22.0,1,0.0,1996-01-22
1996,1,22,0,45,3,4,5,4.995278,-75.812778,1.0,0,0.0,1,0,3,3,5,45.0,1,0,6,1.0,1,0.0,1996-01-22
1996,1,23,0,186,6,5,6,8.899722,80.833889,1.0,0,0.0,1,0,1,14,6,186.0,0,0,5,1.0,0,0.0,1996-01-23
1996,1,25,0,186,6,0,7,7.301756,81.67473,3.0,0,0.0,1,0,2,3,7,186.0,0,0,5,4.0,1,0.0,1996-01-25
1996,1,29,0,186,6,0,8,9.478056,80.011389,1.0,0,0.0,1,0,1,14,8,186.0,0,0,5,1.0,0,0.0,1996-01-29
1996,1,30,0,186,6,0,9,7.529372,81.794609,1.0,0,0.0,0,0,3,20,9,186.0,0,0,6,0.0,1,0.0,1996-01-30
1996,1,30,0,186,6,0,0,7.414383,81.830633,1.0,0,0.0,1,0,3,20,10,186.0,0,0,6,1.0,1,0.0,1996-01-30
1996,1,31,0,186,6,6,10,6.941837,79.861687,1.0,0,0.0,1,1,3,1,11,186.0,0,0,6,90.0,1,0.0,1996-01-31
1996,2,11,0,186,6,7,11,8.349393,81.285949,1.0,0,0.0,1,0,2,4,12,186.0,0,0,5,3.0,1,0.0,1996-02-11
1996,2,14,0,45,3,8,12,7.75809,-76.65758,1.0,0,0.0,1,0,2,2,13,45.0,1,0,5,11.0,0,0.0,1996-02-14
1996,2,26,0,186,6,0,2,8.577826,81.218719,1.0,0,0.0,1,0,3,3,14,186.0,0,0,6,0.0,1,0.0,1996-02-26
1996,3,1,0,186,6,7,13,7.115312,81.852488,1.0,0,0.0,1,0,1,14,15,186.0,0,0,5,1.0,0,0.0,1996-03-01
1996,3,5,0,186,6,6,10,6.941837,79.861687,1.0,0,0.0,0,0,3,20,9,186.0,0,0,6,0.0,1,0.0,1996-03-05
1996,3,5,0,186,6,7,14,8.964041,80.787941,1.0,0,0.0,0,0,3,3,16,186.0,0,0,6,0.0,1,0.0,1996-03-05
1996,3,13,0,45,3,2,15,9.54637,-75.31266,1.0,0,0.0,1,0,3,3,5,45.0,1,0,5,11.0,1,0.0,1996-03-13
1996,3,13,0,45,3,9,16,7.060051,-73.853115,1.0,0,0.0,1,0,1,3,17,45.0,1,0,5,1.0,0,0.0,1996-03-13
1996,3,18,0,186,6,7,17,9.762422,80.028899,1.0,0,0.0,1,0,3,4,18,186.0,0,0,6,18.0,1,0.0,1996-03-18
1996,3,18,0,186,6,0,18,7.707372,81.715749,1.0,0,0.0,0,0,1,2,19,186.0,0,0,5,0.0,0,0.0,1996-03-18
1996,3,23,0,186,6,0,19,7.733107,81.68882,1.0,1,0.0,1,0,2,14,20,186.0,0,0,5,1.0,1,0.0,1996-03-23
1996,3,23,0,186,6,10,20,7.775413,81.606247,1.0,0,0.0,0,0,2,3,21,186.0,0,0,5,3.0,1,0.0,1996-03-23
1996,3,25,0,186,6,0,21,7.219392,81.849757,1.0,0,0.0,1,0,3,16,22,186.0,0,0,6,0.0,1,0.0,1996-03-25
1996,3,30,0,186,6,0,22,9.575,80.466111,1.0,1,0.0,1,1,3,4,23,186.0,0,0,6,12.0,1,0.0,1996-03-30
1996,3,30,0,45,3,11,23,8.670438,-74.030012,4.0,0,0.0,1,0,6,14,24,98.0,1,0,5,0.0,0,1.0,1996-03-30
1996,4,5,0,186,6,7,14,8.964041,80.787941,1.0,0,1.0,1,0,2,14,25,186.0,0,0,5,1.0,1,0.0,1996-04-05
1996,4,5,0,186,6,7,14,8.964041,80.787941,1.0,0,1.0,1,0,2,14,25,186.0,0,0,5,1.0,1,0.0,1996-04-05
1996,4,12,0,186,6,6,10,6.941837,79.861687,1.0,0,0.0,0,0,3,11,26,186.0,0,0,6,10.0,1,0.0,1996-04-12
1996,4,16,0,45,3,12,23,1.637898,-77.745208,1.0,0,0.0,1,0,3,4,27,45.0,1,0,6,31.0,1,0.0,1996-04-16
1996,4,22,0,186,6,0,24,8.324973,81.30074,1.0,0,0.0,1,0,2,3,28,186.0,0,0,5,7.0,1,0.0,1996-04-22
1996,4,23,0,45,3,13,25,5.19688,-73.14554,1.0,0,0.0,1,0,3,14,29,45.0,1,0,6,2.0,1,0.0,1996-04-23
1996,4,25,0,45,3,14,26,1.3325,-75.97608,1.0,0,0.0,1,0,3,3,30,45.0,1,0,6,5.0,1,0.0,1996-04-25
1996,4,27,0,45,3,8,27,7.882318,-76.630626,1.0,0,0.0,0,0,1,2,31,45.0,1,0,6,1.0,0,0.0,1996-04-27
1996,5,3,0,186,6,5,28,7.995,80.460833,2.0,0,0.0,1,0,3,21,32,186.0,0,0,6,0.0,1,0.0,1996-05-03
1996,5,3,0,186,6,0,19,7.733107,81.68882,1.0,0,0.0,1,0,3,4,33,186.0,0,0,6,5.0,1,0.0,1996-05-03
1996,5,4,0,45,3,8,29,8.136754,-76.550495,1.0,0,0.0,1,0,2,2,34,45.0,1,0,5,7.0,1,0.0,1996-05-04
1996,5,4,0,45,3,8,30,6.828333,-75.513056,2.0,0,0.0,1,0,2,14,35,45.0,1,0,5,9.0,1,0.0,1996-05-04
1996,5,11,0,186,6,0,31,7.821533,81.550106,1.0,1,0.0,1,0,2,4,36,186.0,0,0,5,23.0,1,0.0,1996-05-11
1996,5,16,0,45,3,15,32,3.656667,-76.688333,1.0,0,0.0,1,0,7,1,37,45.0,1,0,5,0.0,1,0.0,1996-05-16
1996,5,18,0,186,6,7,33,9.69636,80.184717,1.0,0,0.0,1,0,2,14,6,186.0,0,0,9,3.0,1,0.0,1996-05-18
1996,5,19,0,186,6,0,34,8.941674,80.986695,1.0,0,0.0,1,0,3,3,38,186.0,0,0,6,0.0,1,0.0,1996-05-19
